[Header]
;Copyright 2014, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,4/14/2017 6:05:32 PM
BYAPP, Electrical Transport Option, Release 1.1.1 Build 7
INFO, APPNAME, ETOption, Release 1.1.1 Build 7
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16
,3701352019.74006,56.0515785217285,-0.188679158687592,,,,,,,,,,,,,,,,,,,,,,,0.5790671,2.004324E-05,0.04333157,,,21.3623,0.98304,10,0,0.005790605,0.005790603,4.37931E-06,,,,,,300,-37.22068,-42.04094,402986368,0,,,,,,,,,,,,,,,,
,3701352164.25188,57.0539207458496,-0.170090109109879,,,,,,,,,,,,,,,,,,,,,,,0.5833771,0.000164572,0.04321373,,,21.3623,0.98304,10,0,0.005833705,0.005833703,4.399908E-06,,,,,,300,-37.09031,-43.84931,402986368,0,,,,,,,,,,,,,,,,
,3701352165.07054,57.0531578063965,-0.174737364053726,,,,,,,,,,,,,,,,,,,,,,,0.5833206,2.742469E-05,0.04316477,,,21.3623,0.98304,10,0,0.00583314,0.005833138,4.394497E-06,,,,,,300,-37.10253,-43.84002,402986368,0,,,,,,,,,,,,,,,,
,3701352165.91585,57.0522613525391,-0.170090109109879,,,,,,,,,,,,,,,,,,,,,,,0.5833014,2.269355E-05,0.04319879,,,21.3623,0.98304,10,0,0.005832948,0.005832946,4.397815E-06,,,,,,300,-37.09684,-43.8311,402986368,0,,,,,,,,,,,,,,,,
,3701352308.02557,58.0583801269531,-0.160795539617538,,,,,,,,,,,,,,,,,,,,,,,0.5881819,2.567189E-05,0.04314345,,,21.3623,0.98304,10,0,0.005881752,0.00588175,4.428931E-06,,,,,,300,-36.95385,-45.98108,402986368,0,,,,,,,,,,,,,,,,
,3701352308.82642,58.0574111938477,-0.160795539617538,,,,,,,,,,,,,,,,,,,,,,,0.588151,2.854794E-05,0.04310266,,,21.3623,0.98304,10,0,0.005881443,0.005881441,4.424511E-06,,,,,,300,-36.95627,-45.96568,402986368,0,,,,,,,,,,,,,,,,
,3701352309.60765,58.0567741394043,-0.160795539617538,,,,,,,,,,,,,,,,,,,,,,,0.5881364,2.17135E-05,0.04281639,,,21.3623,0.98304,10,0,0.005881297,0.005881295,4.395016E-06,,,,,,300,-36.95671,-45.95863,402986368,0,,,,,,,,,,,,,,,,
,3701352450.53916,59.0595664978027,-0.165442824363708,,,,,,,,,,,,,,,,,,,,,,,0.5931826,3.53917E-05,0.04278679,,,21.3623,0.98304,10,0,0.005931759,0.005931757,4.429662E-06,,,,,,300,-36.81317,-48.82578,402986368,0,,,,,,,,,,,,,,,,
,3701352451.27309,59.0579872131348,-0.165442824363708,,,,,,,,,,,,,,,,,,,,,,,0.5932277,4.610133E-05,0.04264919,,,21.3623,0.98304,10,0,0.00593221,0.005932208,4.415752E-06,,,,,,300,-36.81247,-48.83655,402986368,0,,,,,,,,,,,,,,,,
,3701352452.14424,59.0569763183594,-0.174737364053726,,,,,,,,,,,,,,,,,,,,,,,0.5932643,1.443912E-05,0.04305051,,,21.3623,0.98304,10,0,0.005932576,0.005932574,4.457578E-06,,,,,,300,-36.80893,-48.82279,402986368,0,,,,,,,,,,,,,,,,
,3701352592.654,60.0608596801758,-0.160795539617538,,,,,,,,,,,,,,,,,,,,,,,0.5988513,2.310432E-05,0.04320724,,,21.3623,0.98304,10,0,0.005988445,0.005988443,4.515937E-06,,,,,,300,-36.63725,-52.75268,402986368,0,,,,,,,,,,,,,,,,
,3701352593.51672,60.0592575073242,-0.156148254871368,,,,,,,,,,,,,,,,,,,,,,,0.5988154,2.742407E-05,0.04272983,,,21.3623,0.98304,10,0,0.005988087,0.005988085,4.465772E-06,,,,,,300,-36.63402,-52.74263,402986368,0,,,,,,,,,,,,,,,,
,3701352594.33577,60.0577964782715,-0.160795539617538,,,,,,,,,,,,,,,,,,,,,,,0.5987263,1.730705E-05,0.04294257,,,21.3623,0.98304,10,0,0.005987195,0.005987193,4.487338E-06,,,,,,300,-36.63819,-52.74635,402986368,0,,,,,,,,,,,,,,,,
,3701352732.98293,61.0635795593262,-0.165442824363708,,,,,,,,,,,,,,,,,,,,,,,0.6045692,3.290176E-05,0.04293938,,,21.3623,0.98304,10,0,0.006045623,0.006045621,4.530792E-06,,,,,,300,-36.46214,-59.58685,402986368,0,,,,,,,,,,,,,,,,
,3701352733.80561,61.0619201660156,-0.156148254871368,,,,,,,,,,,,,,,,,,,,,,,0.6045594,3.181812E-05,0.04322531,,,21.3623,0.98304,10,0,0.006045525,0.006045524,4.560889E-06,,,,,,300,-36.46937,-59.56888,402986368,0,,,,,,,,,,,,,,,,
,3701352734.67584,61.060375213623,-0.151500999927521,,,,,,,,,,,,,,,,,,,,,,,0.6046035,3.786712E-05,0.04295494,,,21.3623,0.98304,10,0,0.006045966,0.006045965,4.532691E-06,,,,,,300,-36.45928,-59.62856,402986368,0,,,,,,,,,,,,,,,,
,3701352872.41321,62.0649833679199,-0.146853730082512,,,,,,,,,,,,,,,,,,,,,,,0.6105213,2.965644E-05,0.04297329,,,21.3623,0.98304,10,0,0.006105144,0.006105142,4.579013E-06,,,,,,300,-36.28786,-73.2361,402986368,0,,,,,,,,,,,,,,,,
,3701352873.17303,62.0632057189941,-0.151500999927521,,,,,,,,,,,,,,,,,,,,,,,0.6104679,3.068208E-05,0.04272003,,,21.3623,0.98304,10,0,0.00610461,0.006104608,4.551629E-06,,,,,,300,-36.29319,-73.11205,402986368,0,,,,,,,,,,,,,,,,
,3701352873.94095,62.0622901916504,-0.142206445336342,,,,,,,,,,,,,,,,,,,,,,,0.6104289,3.28467E-05,0.04292231,,,21.3623,0.98304,10,0,0.00610422,0.006104218,4.572888E-06,,,,,,300,-36.29264,-73.38032,402986368,0,,,,,,,,,,,,,,,,
,3701353011.20778,63.0629272460938,-0.146853730082512,,,,,,,,,,,,,,,,,,,,,,,0.6162239,2.49175E-05,0.04282366,,,21.3623,0.98304,10,0,0.006162168,0.006162167,4.60569E-06,,,,,,300,-36.11988,-56.48241,402986368,0,,,,,,,,,,,,,,,,
,3701353012.02014,63.062328338623,-0.151500999927521,,,,,,,,,,,,,,,,,,,,,,,0.6162453,5.145775E-05,0.04293032,,,21.3623,0.98304,10,0,0.006162383,0.006162381,4.617321E-06,,,,,,300,-36.12298,-56.51192,402986368,0,,,,,,,,,,,,,,,,
,3701353012.85322,63.0612449645996,-0.151500999927521,,,,,,,,,,,,,,,,,,,,,,,0.6161876,3.627568E-05,0.04295231,,,21.3623,0.98304,10,0,0.006161806,0.006161804,4.619254E-06,,,,,,300,-36.12344,-56.47186,402986368,0,,,,,,,,,,,,,,,,
,3701353147.47157,64.0682144165039,-0.137559175491333,,,,,,,,,,,,,,,,,,,,,,,0.6216421,3.563426E-05,0.04276368,,,21.3623,0.98304,10,0,0.00621635,0.006216349,4.639679E-06,,,,,,300,-35.97044,-51.25689,402986368,0,,,,,,,,,,,,,,,,
,3701353148.31098,64.0668106079102,-0.151500999927521,,,,,,,,,,,,,,,,,,,,,,,0.6216348,2.736738E-05,0.04285892,,,21.3623,0.98304,10,0,0.006216277,0.006216275,4.649956E-06,,,,,,300,-35.96075,-51.22213,402986368,0,,,,,,,,,,,,,,,,
,3701353149.12436,64.0654907226563,-0.142206445336342,,,,,,,,,,,,,,,,,,,,,,,0.6215696,3.271288E-05,0.04309024,,,21.3623,0.98304,10,0,0.006215625,0.006215624,4.674563E-06,,,,,,300,-35.96347,-51.24245,402986368,0,,,,,,,,,,,,,,,,
,3701353285.95712,65.0693511962891,-0.123617373406887,,,,,,,,,,,,,,,,,,,,,,,0.6267786,6.015023E-05,0.04295409,,,21.3623,0.98304,10,0,0.006267715,0.006267713,4.698845E-06,,,,,,300,-35.80946,-48.38535,402986368,0,,,,,,,,,,,,,,,,
,3701353286.79417,65.0670547485352,-0.137559175491333,,,,,,,,,,,,,,,,,,,,,,,0.626692,2.839384E-05,0.04297536,,,21.3623,0.98304,10,0,0.006266849,0.006266847,4.700521E-06,,,,,,300,-35.81534,-48.38528,402986368,0,,,,,,,,,,,,,,,,
,3701353287.61019,65.0657806396484,-0.142206445336342,,,,,,,,,,,,,,,,,,,,,,,0.6267042,4.060681E-05,0.04261187,,,21.3623,0.98304,10,0,0.00626697,0.006266968,4.660855E-06,,,,,,300,-35.8184,-48.39382,402986368,0,,,,,,,,,,,,,,,,
,3701353423.08018,66.0705718994141,-0.142206445336342,,,,,,,,,,,,,,,,,,,,,,,0.6314769,3.990082E-05,0.04285948,,,21.3623,0.98304,10,0,0.006314698,0.006314696,4.723639E-06,,,,,,300,-35.66305,-46.52538,402986368,0,,,,,,,,,,,,,,,,
,3701353423.7795,66.0694351196289,-0.132911920547485,,,,,,,,,,,,,,,,,,,,,,,0.6314039,4.820478E-05,0.04282053,,,21.3623,0.98304,10,0,0.006313968,0.006313966,4.718802E-06,,,,,,300,-35.66549,-46.54671,402986368,0,,,,,,,,,,,,,,,,
,3701353424.56619,66.0680465698242,-0.128264650702477,,,,,,,,,,,,,,,,,,,,,,,0.6313995,3.896475E-05,0.04304916,,,21.3623,0.98304,10,0,0.006313923,0.006313921,4.743963E-06,,,,,,300,-35.6682,-46.553,402986368,0,,,,,,,,,,,,,,,,
,3701353561.04876,67.0693435668945,-0.137559175491333,,,,,,,,,,,,,,,,,,,,,,,0.6356658,0.0003648227,0.04288902,,,21.3623,0.98304,10,0,0.006356586,0.006356584,4.758251E-06,,,,,,300,-35.53979,-45.18615,402986368,0,,,,,,,,,,,,,,,,
,3701353561.93169,67.068000793457,-0.137559175491333,,,,,,,,,,,,,,,,,,,,,,,0.6356658,0.0003648227,0.04288902,,,21.3623,0.98304,10,0,0.006356586,0.006356584,4.758251E-06,,,,,,300,-35.53979,-45.18615,402986368,0,,,,,,,,,,,,,,,,
,3701353562.7551,67.0669174194336,-0.137559175491333,,,,,,,,,,,,,,,,,,,,,,,0.6356292,0.0002258408,0.04278148,,,21.3623,0.98304,10,0,0.006356219,0.006356217,4.746046E-06,,,,,,300,-35.54065,-45.18798,402986368,0,,,,,,,,,,,,,,,,
,3701353697.4521,68.0742263793945,-0.146853730082512,,,,,,,,,,,,,,,,,,,,,,,0.6395005,2.138498E-05,0.04305101,,,21.3623,0.98304,10,0,0.006394933,0.006394931,4.805036E-06,,,,,,300,-35.41846,-44.18896,402986368,0,,,,,,,,,,,,,,,,
,3701353698.22219,68.0731582641602,-0.132911920547485,,,,,,,,,,,,,,,,,,,,,,,0.6394832,3.602418E-05,0.04292388,,,21.3623,0.98304,10,0,0.006394759,0.006394757,4.790717E-06,,,,,,300,-35.42378,-44.18956,402986368,0,,,,,,,,,,,,,,,,
,3701353698.98246,68.071891784668,-0.128264650702477,,,,,,,,,,,,,,,,,,,,,,,0.6395028,3.232083E-05,0.04288275,,,21.3623,0.98304,10,0,0.006394955,0.006394953,4.786273E-06,,,,,,300,-35.42419,-44.17652,402986368,0,,,,,,,,,,,,,,,,
,3701353834.07009,69.0720596313477,-0.132911920547485,,,,,,,,,,,,,,,,,,,,,,,0.6428617,0.0002441732,0.04302242,,,21.3623,0.98304,10,0,0.006428544,0.006428542,4.827083E-06,,,,,,300,-35.32788,-43.20086,402986368,0,,,,,,,,,,,,,,,,
,3701353834.95776,69.0712356567383,-0.137559175491333,,,,,,,,,,,,,,,,,,,,,,,0.6428637,0.0002839324,0.04317663,,,21.3623,0.98304,10,0,0.006428564,0.006428562,4.8444E-06,,,,,,300,-35.32152,-43.19072,402986368,0,,,,,,,,,,,,,,,,
,3701353835.71607,69.0697860717773,-0.142206445336342,,,,,,,,,,,,,,,,,,,,,,,0.6428632,0.000282284,0.04288723,,,21.3623,0.98304,10,0,0.006428559,0.006428557,4.811926E-06,,,,,,300,-35.3203,-43.19621,402986368,0,,,,,,,,,,,,,,,,
,3701353970.04241,70.0739593505859,-0.142206445336342,,,,,,,,,,,,,,,,,,,,,,,0.6458668,2.175938E-05,0.04303188,,,21.3623,0.98304,10,0,0.006458595,0.006458593,4.850714E-06,,,,,,300,-35.23538,-42.57341,402986368,0,,,,,,,,,,,,,,,,
,3701353970.77999,70.0732574462891,-0.128264650702477,,,,,,,,,,,,,,,,,,,,,,,0.6458066,2.61374E-05,0.0428052,,,21.3623,0.98304,10,0,0.006457993,0.006457991,4.824712E-06,,,,,,300,-35.23912,-42.58897,402986368,0,,,,,,,,,,,,,,,,
,3701353971.53132,70.0717239379883,-0.132911920547485,,,,,,,,,,,,,,,,,,,,,,,0.6458072,3.324646E-05,0.04268076,,,21.3623,0.98304,10,0,0.006457999,0.006457997,4.81069E-06,,,,,,300,-35.23514,-42.5927,402986368,0,,,,,,,,,,,,,,,,
,3701354105.40229,71.0762939453125,-0.132911920547485,,,,,,,,,,,,,,,,,,,,,,,0.6488294,5.234324E-05,0.04298924,,,21.3623,0.98304,10,0,0.00648822,0.006488218,4.868135E-06,,,,,,300,-35.15891,-42.07042,402986368,0,,,,,,,,,,,,,,,,
,3701354106.25471,71.0741958618164,-0.128264650702477,,,,,,,,,,,,,,,,,,,,,,,0.6488485,3.675626E-05,0.04299853,,,21.3623,0.98304,10,0,0.006488412,0.00648841,4.869331E-06,,,,,,300,-35.16162,-42.06848,402986368,0,,,,,,,,,,,,,,,,
,3701354107.06293,71.072395324707,-0.132911920547485,,,,,,,,,,,,,,,,,,,,,,,0.6487791,2.794554E-05,0.04282411,,,21.3623,0.98304,10,0,0.006487717,0.006487716,4.849061E-06,,,,,,300,-35.15606,-42.08868,402986368,0,,,,,,,,,,,,,,,,
,3701354241.48251,72.0750274658203,-0.123617373406887,,,,,,,,,,,,,,,,,,,,,,,0.6521799,0.0003993905,0.04306595,,,21.3623,0.98304,10,0,0.006521725,0.006521723,4.902006E-06,,,,,,300,-35.06099,-41.79498,402986368,0,,,,,,,,,,,,,,,,
,3701354242.28598,72.0735778808594,-0.128264650702477,,,,,,,,,,,,,,,,,,,,,,,0.6521091,0.0001662855,0.04286216,,,21.3623,0.98304,10,0,0.006521017,0.006521015,4.87828E-06,,,,,,300,-35.07175,-41.79817,402986368,0,,,,,,,,,,,,,,,,
