temperature,moment,sus
244.107200622559,8.232590423670833e-24,1.2146845021279579e+27
244.116806030273,8.23871939432205e-24,1.2137808707129639e+27
249.129112243652,8.202346258929635e-24,1.2191633569618347e+27
249.147521972656,8.203742114336575e-24,1.2189559179980008e+27
249.158744812012,8.217247883246099e-24,1.216952456842479e+27
254.175239562988,8.158707307854754e-24,1.2256843667344888e+27
254.19263458252,8.149840402259572e-24,1.2270178931635844e+27
254.205726623535,8.107881489327882e-24,1.2333678055312779e+27
259.212310791016,8.114923402460236e-24,1.232297521991182e+27
259.248352050781,8.110455218724759e-24,1.2329764150491596e+27
259.27424621582,8.113845301720246e-24,1.2324612595066192e+27
264.249771118164,8.075959277252332e-24,1.238242994633113e+27
264.273208618164,8.052813159845011e-24,1.241802063639642e+27
264.291351318359,8.04403104384348e-24,1.2431578080064133e+27
269.319107055664,8.049924034306447e-24,1.2422477476039395e+27
269.338363647461,8.044828182932367e-24,1.2430346270434534e+27
269.353775024414,8.037610027071474e-24,1.244150931224456e+27
274.405746459961,8.039053938908368e-24,1.243927466589173e+27
274.413391113281,8.017070077972e-24,1.2473384793624755e+27
274.425033569336,8.011541543785825e-24,1.248199231739181e+27
279.399520874023,7.976768691381535e-24,1.253640463563204e+27
279.423767089844,7.955375108342467e-24,1.257011751653724e+27
279.445083618164,7.980903664272282e-24,1.2529909419614355e+27
284.440841674805,7.93441759876323e-24,1.2603319494500442e+27
284.467910766602,7.913530438353633e-24,1.2636584995660224e+27
284.489212036133,7.878302953396087e-24,1.269308892937319e+27
289.543746948242,7.92557067417147e-24,1.261738795994698e+27
289.55354309082,7.88610168397714e-24,1.2680536468757238e+27
289.567687988281,7.883083764437163e-24,1.2685391020596343e+27
294.553604125977,7.841218105234422e-24,1.2753120581258258e+27
294.5791015625,7.841082399991815e-24,1.2753341298913576e+27
294.599685668945,7.851726719916898e-24,1.273605202615335e+27
299.596542358398,7.824731259018869e-24,1.2779991630350105e+27
299.623107910156,7.84111645307691e-24,1.2753285912589564e+27
299.644317626953,7.767990343008475e-24,1.2873342471390207e+27
