[Header]
;Copyright 2014, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,4/25/2017 6:52:22 AM
BYAPP, Electrical Transport Option, Release 1.1.1 Build 7
INFO, APPNAME, ETOption, Release 1.1.1 Build 7
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16
Ch. 2 Input voltage exceeded compliance limit.,3702262459.44881,55.512939453125,-0.219799250364304,,,52.97781,0.0001076141,-0.009625397,,,18.31055,0.98304,10,0,0.5297737,0.5297737,-8.899925E-05,,,,,,3,-100.1578,-71.8786,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262534.32062,56.0131988525391,-0.256432443857193,,,53.01277,0.0001051836,-0.009574054,,,18.31055,0.98304,10,0,0.5301232,0.5301232,-8.858294E-05,,,,,,3,-98.68295,-71.85719,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262535.06296,56.0129013061523,-0.268643528223038,,,53.01277,0.0001051836,-0.009574054,,,18.31055,0.98304,10,0,0.5301232,0.5301232,-8.858294E-05,,,,,,3,-98.68295,-71.85719,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262535.88376,56.0130157470703,-0.256432443857193,,,53.01282,0.0001105509,-0.009620696,,,18.31055,0.98304,10,0,0.5301238,0.5301238,-8.901458E-05,,,,,,3,-99.71152,-71.90887,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262610.10563,56.5147361755371,-0.20758818089962,,,53.0478,8.710998E-05,-0.009634365,,,18.31055,0.98304,10,0,0.5304736,0.5304736,-8.919987E-05,,,,,,3,-100.0544,-71.81497,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262610.83022,56.5132789611816,-0.268643528223038,,,53.0478,8.710998E-05,-0.009634365,,,18.31055,0.98304,10,0,0.5304736,0.5304736,-8.919987E-05,,,,,,3,-100.0544,-71.81497,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262611.54211,56.5123062133789,-0.244221374392509,,,53.04775,8.162627E-05,-0.009617579,,,18.31055,0.98304,10,0,0.5304731,0.5304731,-8.904437E-05,,,,,,3,-100.0254,-71.83178,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262685.60388,57.0143966674805,-0.244221374392509,,,53.08277,0.0001117832,-0.009562687,,,18.31055,0.98304,10,0,0.5308232,0.5308232,-8.859459E-05,,,,,,3,-99.96754,-71.82935,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262701.35115,57.0027923583984,-0.20758818089962,,,53.08234,0.0001241505,-0.00969415,,,18.31055,0.98304,10,0,0.5308189,0.5308189,-8.981182E-05,,,,,,3,-99.45407,-71.88302,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702262703.60622,57.0026779174805,-0.256432443857193,,,53.08227,9.872147E-05,-0.009731728,,,18.31055,0.98304,10,0,0.5308183,0.5308183,-9.015985E-05,,,,,,3,-99.3016,-71.86569,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
